CAMPUS,CD000AA11219R,CD000ABI1219R,CD000AR11219R,CD000AUS1219R,CD200AA11219R,CD200ABI1219R,CD200AR11219R,CD200AUS1219R,CD300AA11219R,CD300ABI1219R,CD300AR11219R,CD300AUS1219R,CD400AA11219R,CD400ABI1219R,CD400AR11219R,CD400AUS1219R,CDA00AA11219R,CDA00ABI1219R,CDA00AR11219R,CDA00AUS1219R,CDB00AA11219R,CDB00ABI1219R,CDB00AR11219R,CDB00AUS1219R,CDE00AA11219R,CDE00ABI1219R,CDE00AR11219R,CDE00AUS1219R,CDF00AA11219R,CDF00ABI1219R,CDF00AR11219R,CDF00AUS1219R,CDH00AA11219R,CDH00ABI1219R,CDH00AR11219R,CDH00AUS1219R,CDI00AA11219R,CDI00ABI1219R,CDI00AR11219R,CDI00AUS1219R,CDL00AA11219R,CDL00ABI1219R,CDL00AR11219R,CDL00AUS1219R,CDM00AA11219R,CDM00ABI1219R,CDM00AR11219R,CDM00AUS1219R,CDR00AA11219R,CDR00ABI1219R,CDR00AR11219R,CDR00AUS1219R,CDS00AA11219R,CDS00ABI1219R,CDS00AR11219R,CDS00AUS1219R,CDW00AA11219R,CDW00ABI1219R,CDW00AR11219R,CDW00AUS1219R,CNC00AA11219R,CNC00ABI1219R,CNC00AR11219R,CNC00AUS1219R,CNM00AA11219R,CNM00ABI1219R,CNM00AR11219R,CNM00AUS1219R,CNS00AA11219R,CNS00ABI1219R,CNS00AR11219R,CNS00AUS1219R
'001902001,.,.,.,.,80,-1,60,-1,.,.,.,.,.,.,.,.,69,86,65,54,-1,-1,-1,-1,59,89,46,44,86,94,86,47,-1,-1,-1,-1,.,.,.,.,.,.,.,.,57,78,48,61,50,76,50,46,27,60,14,20,69,82,66,58,69,81,65,52,71,100,65,63,-1,-1,-1,.
'001902041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,-1,-1,-1,-1,-1,-1,60,-1,.,-1,-1,-1,.,.,.,-1,68,68,49,88,33,33,11,80,53,55,33,79,76,73,59,82,71,67,50,79,-1,-1,-1,.,.,.,.,.,61,63,41,95,15,21,4,74,0,0,0,70,72,74,52,92,71,66,54,86,53,73,36,95,-1,-1,-1,-1
'001903002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903041,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,93,.,.,.,.,.,.,.,-1,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,88,.,.,.,-1,.,.,.,.,.,.,.,88,.,.,.,92,.,.,.,-1,.,.,.,.,.,.,.
'001903101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,.,.,-1,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,47,69,43,72,-1,80,20,63,48,55,19,57,58,75,63,71,-1,-1,20,80,.,-1,-1,.,.,.,-1,-1,42,64,31,74,27,45,15,35,33,22,14,17,48,67,46,72,43,70,48,69,53,65,35,78,-1,-1,-1,-1
'001904041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93,.,.,.,-1,.,.,.,-1,.,.,.,92,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,93,.,.,.,80,.,.,.,.,.,.,.,92,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.
