FID,OBJECTID,CITY,REGION,ORG_E_ID,WEBSITE,SHAPE_Leng,SHAPE_Length,SHAPE_Area
1,1,Edinburg,01,1,www.esc1.net,1276265.438,12.18647022,27084239338
2,2,Corpus Christi,02,2,www.esc2.net,1037578.316,9.887028894,31600523709
3,3,Victoria,03,3,www.esc3.net,1172046.844,11.3924695,28085466068
4,4,Houston,04,4,www.esc4.net,971638.5888,9.411035032,19561972136
5,5,Beaumont,05,5,www.esc5.net,900500.0295,8.756366712,14232022535
6,6,Huntsville,06,7,www.esc6.net,1543613.043,15.12853859,31391392225
7,7,Kilgore,07,8,www.esc7.net,1412111.106,13.92927829,32814224848
8,8,Mt. Pleasant,08,9,www.reg8.net,1003787.894,9.89049024,17057529796
9,9,Wichita Falls,09,10,www.esc9.net,1090947.548,10.77139271,27760410303
10,10,Richardson,10,11,www.region10.org,986968.4742,9.655980706,17987204538
11,11,Fort Worth,11,12,www.esc11.net,1078555.963,10.51334951,20214830678
12,12,Waco,12,13,www.esc12.net,1366743.555,13.5198106,29403477015
13,13,Austin,13,14,www.esc13.net,1457301.627,14.27495542,32721796021
14,14,Abilene,14,15,www.esc14.net,1285435.56,12.69854797,30639060524
15,15,San Angelo,15,16,www.netxv.net,1850495.985,18.12245285,64776131499
16,16,Amarillo,16,17,www.esc16.net,1163045.259,11.59608848,67373136601
17,17,Lubbock,17,18,www.esc17.net,1171758.363,11.62863311,48953694624
18,18,Midland,18,19,www.esc18.net,1978365.54,19.35354705,98266011915
19,19,El Paso,19,20,www.esc19.net,576826.3583,5.6958028,11706079149
20,20,San Antonio,20,21,www.esc20.net,1329078.121,12.91416577,42071591953
