CAMPUS,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPST00FC,CPST00FP,CPST01FC,CPST01FP,CPST06FC,CPST06FP,CPST11FC,CPST11FP,CPST20FC,CPST20FP,CPSTBAFC,CPSTBAFP,CPSTEXPA,CPSTKIDR,CPSTMSFC,CPSTMSFP,CPSTNOFC,CPSTNOFP,CPSTPHFC,CPSTPHFP,CPSTTENA
'001902001,8.6,7.8,.,.,.,.,.,.,.,.,10.9,11.5,14.9,0,0,2.1,11.1,4.7,25,5.4,28.9,6.6,35.1,15.7,84.1,15.7,9.6,3,15.9,0,0,0,0,7.9
'001902041,12.3,11,.,.,.,.,.,11.4,.,.,13.8,13.8,13.8,0,0,2.3,19.5,1,8.2,2,16.6,6.6,55.8,9.5,80.1,15.6,10,2.4,19.9,0,0,0,0,6.2
'001902103,.,.,12.3,14.4,14.2,15,15.1,.,19,.,.,.,.,0,0,1.5,7.7,2.2,11.4,7,36.8,8.4,44.1,18.9,98.9,17.7,13.9,0.2,1.1,0,0,0,0,11.3
'001903001,10.3,16.1,.,.,.,.,.,.,.,.,13.9,13.7,8.6,1.3,3.6,7,19.3,4.7,13,13.7,37.9,9.5,26.2,26.7,73.8,14.6,10.4,9.5,26.2,0,0,0,0,8.5
'001903002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903041,13.8,.,.,.,.,.,.,12.1,.,.,12.8,14.9,16.3,1.7,7.1,2,8.3,8,33.4,6.8,28.2,5.5,23,20.5,85.4,12.9,10.9,3.5,14.6,0,0,0,0,7.9
'001903101,.,.,19.6,16.4,.,.,.,.,17.9,.,.,.,.,0,0,1,4.3,4.1,17.7,10.5,45,7.7,33,18.4,78.6,18.1,14.5,5,21.4,0,0,0,0,13.4
'001903102,.,.,.,.,19.4,18,16.4,.,.,.,.,.,.,2,8.9,1,4.5,5.2,23,9,40.1,5.3,23.6,22.5,100,15.2,12.3,0,0,0,0,0,0,11
'001904001,10.8,10.4,.,.,.,.,.,.,.,.,13.6,14.7,14.6,4.5,19.8,5.1,22.4,2.7,11.8,7.1,31.2,3.4,14.9,15.4,68,11.4,10,6.6,29.3,0.6,2.7,0,0,4.1
'001904041,18,11.8,.,.,.,.,.,18.4,.,.,12.4,16.5,16.9,3,17.7,2.6,15.5,3.4,20.2,2.9,17,5.1,29.7,14.5,84.9,12.4,11.4,2.6,15.1,0,0,0,0,3.5
