NAME,TYPE,LENGTH,LABEL
CAMPUS,Character,9,Campus Number
CDB00AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, African American, EOC Algebra I Rate"
CDB00ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, African American, EOC Biology Rate"
CDB00AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, African American, EOC English I Rate"
CDB00AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, African American, EOC English II Rate"
CDB00AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, African American, EOC US History Rate"
CDA00AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, All Students, EOC Algebra I Rate"
CDA00ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, All Students, EOC Biology Rate"
CDA00AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, All Students, EOC English I Rate"
CDA00AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, All Students, EOC English II Rate"
CDA00AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, All Students, EOC US History Rate"
CDI00AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, American Indian, EOC Algebra I Rate"
CDI00ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, American Indian, EOC Biology Rate"
CDI00AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, American Indian, EOC English I Rate"
CDI00AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, American Indian, EOC English II Rate"
CDI00AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, American Indian, EOC US History Rate"
CD300AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Asian, EOC Algebra I Rate"
CD300ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Asian, EOC Biology Rate"
CD300AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Asian, EOC English I Rate"
CD300AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Asian, EOC English II Rate"
CD300AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Asian, EOC US History Rate"
CDR00AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, At Risk, EOC Algebra I Rate"
CDR00ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, At Risk, EOC Biology Rate"
CDR00AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, At Risk, EOC English I Rate"
CDR00AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, At Risk, EOC English II Rate"
CDR00AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, At Risk, EOC US History Rate"
CNC00AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Continuous Enrollee, EOC Algebra I Rate"
CNC00ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Continuous Enrollee, EOC Biology Rate"
CNC00AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Continuous Enrollee, EOC English I Rate"
CNC00AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Continuous Enrollee, EOC English II Rate"
CNC00AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Continuous Enrollee, EOC US History Rate"
CD000AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Current-&-Monitored-Y1toY4-EL, EOC Algebra I Rate"
CD000ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Current-&-Monitored-Y1toY4-EL, EOC Biology Rate"
CD000AR11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Current-&-Monitored-Y1toY4-EL, EOC English I Rate"
CD000AR21S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Current-&-Monitored-Y1toY4-EL, EOC English II Rate"
CD000AUS1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, Current-&-Monitored-Y1toY4-EL, EOC US History Rate"
CDL00AA11S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, EL, EOC Algebra I Rate"
CDL00ABI1S19R,Numeric,8,"Campus 2019 Domain 1A: Approaches Grade Level STD, EL, EOC Biology Rate"
