Campus,Algebra_Rate,Biology_Rate,English_Rate,US_History_Rate,Class_Size_English,Class_Size_Math,Class_Size_Sci,Class_Size_Soc_Stud,Teacher_Beginning_Count,Teacher_Beginning_Percent,Teacher_1-5_Years_Count,Teacher_1-5_Years_Percent,Teacher_6-10_Years_Count,Teacher_6-10_Years_Percent,Teacher_11-20_Years_Count,Teacher_11-20_Years_Percent,Teacher_More_Than_20_Years_Count,Teacher_More_Than_20_Years_Percent,Teacher_BA_Degree_Count,Teacher_BA_Degree_Percent,Teacher_Experience_Average,Teacher_Student_Ratio,Teacher_MS_Degree_Count,Teacher_MS_Degree_Percent,Teacher_No_Degree_Count,Teacher_No_Degree_Percent,Teacher_PH_Degree_Count,Teacher_PH_Degree_Percent,Teacher_Tenure_Average,Campus_Name,County_Name,County,District_Name,District,Region,Region_Name,Median_Household_Income,Gini_Index,Median_Family_Income,Poverty_Rate,Avg_Max_Temp,Avg_Min_Temp
001902001,69.0,86.0,65.0,54.0,8.6,10.9,11.5,14.9,0.0,0.0,2.1,11.1,4.7,25.0,5.4,28.9,6.6,35.1,15.7,84.1,15.7,9.6,3.0,15.9,0.0,0.0,0.0,0.0,7.9,CAYUGA H S,ANDERSON,001,CAYUGA ISD,001902,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
001903001,68.0,68.0,49.0,88.0,10.3,13.9,13.7,8.6,1.3,3.6,7.0,19.3,4.7,13.0,13.7,37.9,9.5,26.2,26.7,73.8,14.6,10.4,9.5,26.2,0.0,0.0,0.0,0.0,8.5,ELKHART H S,ANDERSON,001,ELKHART ISD,001903,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
001904001,47.0,69.0,43.0,72.0,10.8,13.6,14.7,14.6,4.5,19.8,5.1,22.4,2.7,11.8,7.1,31.2,3.4,14.9,15.4,68.0,11.4,10.0,6.6,29.3,0.6,2.7,0.0,0.0,4.1,FRANKSTON H S,ANDERSON,001,FRANKSTON ISD,001904,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
001906002,65.0,77.0,68.0,77.0,8.9,12.3,12.1,12.1,0.0,0.0,2.3,20.8,1.5,13.4,4.9,43.6,2.5,22.1,10.7,95.7,14.6,9.6,0.5,4.3,0.0,0.0,0.0,0.0,8.4,NECHES H S,ANDERSON,001,NECHES ISD,001906,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
001907001,63.0,63.0,41.0,56.0,21.4,21.5,20.7,18.4,2.9,3.6,17.5,21.8,22.7,28.1,23.8,29.6,13.6,16.9,66.1,82.1,12.7,12.2,11.4,14.2,3.0,3.7,0.0,0.0,7.1,PALESTINE H S,ANDERSON,001,PALESTINE ISD,001907,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
001908002,43.0,62.0,40.0,61.0,14.6,17.9,15.5,14.0,4.6,11.5,17.4,43.5,6.2,15.4,8.2,20.5,3.7,9.2,28.5,71.0,8.4,10.4,4.9,12.1,5.8,14.4,1.0,2.5,2.0,WESTWOOD H S,ANDERSON,001,WESTWOOD ISD,001908,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
001909001,31.0,75.0,59.0,74.0,12.1,12.4,14.6,13.2,0.0,0.0,2.0,14.3,2.9,20.6,4.3,31.0,4.8,34.1,10.1,72.3,16.1,8.2,3.9,27.7,0.0,0.0,0.0,0.0,7.1,SLOCUM H S,ANDERSON,001,SLOCUM ISD,001909,07,KILGORE,43455.0,0.4299,53519.0,11.413250302715792,85.45,54.36
002901001,66.0,57.0,43.0,64.0,14.9,21.4,19.3,18.7,2.0,2.7,7.4,9.9,10.8,14.4,33.4,44.6,21.3,28.4,50.1,66.9,16.2,15.3,24.0,32.1,0.0,0.0,0.8,1.0,7.1,ANDREWS H S,ANDREWS,002,ANDREWS ISD,002901,18,MIDLAND,76158.0,0.4237,83799.0,9.131736526946108,89.09,49.0
003801001,83.0,86.0,72.0,85.0,14.9,13.2,17.6,18.9,0.3,1.6,4.9,31.5,4.2,27.1,2.6,16.6,3.6,23.2,12.1,77.6,9.8,16.0,3.5,22.4,0.0,0.0,0.0,0.0,3.6,PINEYWOODS COMMUNITY ACADEMY H S,ANGELINA,003,PINEYWOODS COMMUNITY ACADEMY,003801,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
003902001,71.0,73.0,66.0,91.0,19.3,18.2,20.3,18.9,1.0,1.8,10.5,18.6,10.5,18.6,23.1,40.7,11.5,20.3,44.0,77.7,14.1,14.8,11.7,20.6,1.0,1.8,0.0,0.0,8.3,HUDSON H S,ANGELINA,003,HUDSON ISD,003902,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
