NAME,B19013_001E,B19083_001E,B19113_001E,state,county,Poverty_Rate
"San Jacinto County, Texas",41614.0,0.4528,54384.0,48,407,15.039034776437191
"Upshur County, Texas",52162.0,0.4435,64243.0,48,459,15.776000780145303
"Waller County, Texas",59642.0,0.4677,73884.0,48,473,15.100709986108967
"Wilson County, Texas",76692.0,0.4294,88764.0,48,493,9.460476277632033
"Hockley County, Texas",48248.0,0.428,56607.0,48,219,15.877558099202219
"Midland County, Texas",79421.0,0.4719,94223.0,48,329,9.437642343622707
"Llano County, Texas",53411.0,0.5223,62822.0,48,299,10.505060103577707
"Fannin County, Texas",54648.0,0.4559,68540.0,48,147,10.991110982424646
"Brazos County, Texas",49181.0,0.5149,72223.0,48,041,22.645875657567235
"Gaines County, Texas",63054.0,0.4631,72461.0,48,165,15.17917511832319
"Gray County, Texas",47952.0,0.4563,62078.0,48,179,15.225345827755465
"Jack County, Texas",52045.0,0.4648,63105.0,48,237,14.177586985991866
"Bosque County, Texas",52148.0,0.4217,61222.0,48,035,15.429602098819414
"Bexar County, Texas",57157.0,0.4688,68037.0,48,029,15.452087034134337
"Baylor County, Texas",40739.0,0.4084,58214.0,48,023,11.350293542074363
"Denton County, Texas",86913.0,0.4322,107016.0,48,121,7.517311848332138
"Galveston County, Texas",73330.0,0.4646,89270.0,48,167,12.161857698604624
"Roberts County, Texas",68750.0,0.371,73750.0,48,393,11.5527950310559
"Uvalde County, Texas",41679.0,0.4555,51662.0,48,463,17.596582466567607
"Bowie County, Texas",50164.0,0.4995,62071.0,48,037,15.565527507951979
"Kent County, Texas",44688.0,0.4897,73750.0,48,263,13.446676970633694
"Somervell County, Texas",60632.0,0.4475,64464.0,48,425,22.765237020316025
"Hardin County, Texas",60339.0,0.4663,76146.0,48,199,11.922839778032237
"Leon County, Texas",43045.0,0.5271,57173.0,48,289,17.550072568940493
"Newton County, Texas",40101.0,0.4603,49440.0,48,351,24.126778783958603
"Reeves County, Texas",53311.0,0.4465,62149.0,48,389,13.122902143041571
"Travis County, Texas",75887.0,0.4832,96847.0,48,453,11.720281544336713
"Collingsworth County, Texas",39120.0,0.5212,50096.0,48,087,16.604917480633212
"Erath County, Texas",52742.0,0.4938,74085.0,48,143,17.458951745895174
"Motley County, Texas",43859.0,0.4758,63194.0,48,345,8.067092651757187
"Coleman County, Texas",46743.0,0.4669,58463.0,48,083,13.618910487161026
"Medina County, Texas",62599.0,0.4525,78571.0,48,325,10.731765787002818
"Henderson County, Texas",47355.0,0.4702,58429.0,48,213,16.774392500308373
"Lamar County, Texas",45117.0,0.475,56906.0,48,277,17.193767511237425
"Kimble County, Texas",43328.0,0.5252,57112.0,48,267,22.044363137434257
"Washington County, Texas",54971.0,0.5113,70543.0,48,477,11.258993828740438
"Stephens County, Texas",46232.0,0.4819,52639.0,48,429,19.59632635625801
"Andrews County, Texas",76158.0,0.4237,83799.0,48,003,9.131736526946108
"Gonzales County, Texas",53577.0,0.4829,62407.0,48,177,13.921180840287493
"Lynn County, Texas",43382.0,0.5022,56098.0,48,305,18.061749571183533
"Zapata County, Texas",33952.0,0.5641,42396.0,48,505,34.17225950782998
"Hood County, Texas",64041.0,0.4714,79373.0,48,221,9.628245138722178
"King County, Texas",52083.0,0.3522,50417.0,48,269,10.548523206751055
"Cherokee County, Texas",48186.0,0.4325,57513.0,48,073,15.37472658198703
"Delta County, Texas",51038.0,0.4372,61889.0,48,119,19.794246523147265
"Jones County, Texas",50344.0,0.4435,62553.0,48,253,8.935466078323222
"Jim Wells County, Texas",41505.0,0.4945,55182.0,48,249,22.91320902079469
"Dallam County, Texas",58811.0,0.4676,69018.0,48,111,12.020810514786419
"Fort Bend County, Texas",97743.0,0.4343,108211.0,48,157,7.349286772564195
"Irion County, Texas",47500.0,0.4465,70972.0,48,235,14.876543209876544
"Willacy County, Texas",35521.0,0.465,39966.0,48,489,25.32888641838058
"Dawson County, Texas",43239.0,0.4971,54596.0,48,115,22.164988683368453
"Burleson County, Texas",57731.0,0.4377,72225.0,48,051,11.601506257614354
"Nueces County, Texas",55919.0,0.459,68174.0,48,355,16.191569397577034
"Rains County, Texas",51579.0,0.456,69225.0,48,379,12.833588305286419
"Real County, Texas",35862.0,0.4533,49950.0,48,385,22.887323943661972
"Sterling County, Texas",59868.0,0.339,70884.0,48,431,2.3558082859463854
"Carson County, Texas",74872.0,0.4019,96535.0,48,065,8.204360126476951
"Freestone County, Texas",49471.0,0.4663,63450.0,48,161,16.536471543065844
"Hardeman County, Texas",41859.0,0.4485,53707.0,48,197,13.789607097591889
"Briscoe County, Texas",40227.0,0.4273,54300.0,48,045,15.991763898421413
"Liberty County, Texas",51494.0,0.4434,60951.0,48,291,12.79300375140379
"Loving County, Texas",83750.0,0.4906,102917.0,48,301,15.306122448979592
"Robertson County, Texas",52928.0,0.4467,63468.0,48,395,13.866980576809887
"Rusk County, Texas",55234.0,0.4529,64068.0,48,401,10.732024927913683
"Trinity County, Texas",41357.0,0.4689,50823.0,48,455,15.348837209302326
"Bandera County, Texas",58661.0,0.421,67216.0,48,019,15.552554580238578
