CAMPUS,CAMPNAME,CNTYNAME,COUNTY,DISTNAME,DISTRICT,REGION
'001902001,CAYUGA H S,ANDERSON,'001,CAYUGA ISD,'001902,'07
'001902041,CAYUGA MIDDLE,ANDERSON,'001,CAYUGA ISD,'001902,'07
'001902103,CAYUGA EL,ANDERSON,'001,CAYUGA ISD,'001902,'07
'001903001,ELKHART H S,ANDERSON,'001,ELKHART ISD,'001903,'07
'001903002,ELKHART DAEP,ANDERSON,'001,ELKHART ISD,'001903,'07
'001903041,ELKHART MIDDLE,ANDERSON,'001,ELKHART ISD,'001903,'07
'001903101,ELKHART EL,ANDERSON,'001,ELKHART ISD,'001903,'07
'001903102,ELKHART INT,ANDERSON,'001,ELKHART ISD,'001903,'07
'001904001,FRANKSTON H S,ANDERSON,'001,FRANKSTON ISD,'001904,'07
'001904041,FRANKSTON MIDDLE,ANDERSON,'001,FRANKSTON ISD,'001904,'07
'001904102,FRANKSTON EL,ANDERSON,'001,FRANKSTON ISD,'001904,'07
'001906002,NECHES H S,ANDERSON,'001,NECHES ISD,'001906,'07
'001906102,NECHES EL,ANDERSON,'001,NECHES ISD,'001906,'07
'001907001,PALESTINE H S,ANDERSON,'001,PALESTINE ISD,'001907,'07
'001907041,PALESTINE J H,ANDERSON,'001,PALESTINE ISD,'001907,'07
'001907101,NORTHSIDE PRI,ANDERSON,'001,PALESTINE ISD,'001907,'07
'001907102,WASHINGTON EARLY CHILDHOOD CENTER,ANDERSON,'001,PALESTINE ISD,'001907,'07
'001907107,SOUTHSIDE EL,ANDERSON,'001,PALESTINE ISD,'001907,'07
'001907110,STORY INT,ANDERSON,'001,PALESTINE ISD,'001907,'07
'001908002,WESTWOOD H S,ANDERSON,'001,WESTWOOD ISD,'001908,'07
'001908041,WESTWOOD J H,ANDERSON,'001,WESTWOOD ISD,'001908,'07
'001908101,WESTWOOD EL,ANDERSON,'001,WESTWOOD ISD,'001908,'07
'001908102,WESTWOOD PRI,ANDERSON,'001,WESTWOOD ISD,'001908,'07
'001909001,SLOCUM H S,ANDERSON,'001,SLOCUM ISD,'001909,'07
'001909101,SLOCUM PK - 8,ANDERSON,'001,SLOCUM ISD,'001909,'07
'002901001,ANDREWS H S,ANDREWS,'002,ANDREWS ISD,'002901,'18
'002901002,ANDREWS EDUCATION CENTER,ANDREWS,'002,ANDREWS ISD,'002901,'18
'002901041,ANDREWS MIDDLE,ANDREWS,'002,ANDREWS ISD,'002901,'18
'002901101,DEVONIAN EL,ANDREWS,'002,ANDREWS ISD,'002901,'18
'002901104,UNDERWOOD EL,ANDREWS,'002,ANDREWS ISD,'002901,'18
'002901105,CLEARFORK EL,ANDREWS,'002,ANDREWS ISD,'002901,'18
'003801001,PINEYWOODS COMMUNITY ACADEMY H S,ANGELINA,'003,PINEYWOODS COMMUNITY ACADEMY,'003801,'07
'003801042,DR TERRY ROBBINS MIDDLE,ANGELINA,'003,PINEYWOODS COMMUNITY ACADEMY,'003801,'07
'003801103,SARAH STRINDEN EL,ANGELINA,'003,PINEYWOODS COMMUNITY ACADEMY,'003801,'07
'003902001,HUDSON H S,ANGELINA,'003,HUDSON ISD,'003902,'07
'003902004,STUBBLEFIELD LRN CTR,ANGELINA,'003,HUDSON ISD,'003902,'07
'003902041,HUDSON MIDDLE,ANGELINA,'003,HUDSON ISD,'003902,'07
'003902101,W F PEAVY PRI,ANGELINA,'003,HUDSON ISD,'003902,'07
'003902102,W H BONNER EL,ANGELINA,'003,HUDSON ISD,'003902,'07
'003903001,LUFKIN H S,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903004,STUBBLEFIELD LRN CTR,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903044,LUFKIN MIDDLE,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903120,ANDERSON EL,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903121,BRANDON EL,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903122,BROOKHOLLOW EL,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903123,COSTON EL,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903124,DUNBAR PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903125,GARRETT PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903126,HACKNEY PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903127,HERTY PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903128,KURTH PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903129,SLACK EL,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903130,TROUT PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903131,BURLEY PRI,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903141,SPECIAL SERVICES,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003903201,JUVENILE DETENT CTR,ANGELINA,'003,LUFKIN ISD,'003903,'07
'003904001,HUNTINGTON H S,ANGELINA,'003,HUNTINGTON ISD,'003904,'07
'003904005,PRIDE ALTER SCH,ANGELINA,'003,HUNTINGTON ISD,'003904,'07
'003904041,HUNTINGTON MIDDLE,ANGELINA,'003,HUNTINGTON ISD,'003904,'07
'003904101,HUNTINGTON EL,ANGELINA,'003,HUNTINGTON ISD,'003904,'07
'003904102,HUNTINGTON INT,ANGELINA,'003,HUNTINGTON ISD,'003904,'07
'003905001,DIBOLL H S,ANGELINA,'003,DIBOLL ISD,'003905,'07
'003905004,STUBBLEFIELD LRN CTR,ANGELINA,'003,DIBOLL ISD,'003905,'07
'003905041,DIBOLL J H,ANGELINA,'003,DIBOLL ISD,'003905,'07
'003905101,H G TEMPLE EL,ANGELINA,'003,DIBOLL ISD,'003905,'07
'003905102,DIBOLL PRI,ANGELINA,'003,DIBOLL ISD,'003905,'07
'003905103,H G TEMPLE INT,ANGELINA,'003,DIBOLL ISD,'003905,'07
'003906001,ZAVALLA H S,ANGELINA,'003,ZAVALLA ISD,'003906,'07
