county_name,geoid,station_id_2018,station_id_2019,avg_max_temp,avg_min_temp
Anderson County,48001,93983,93983,85.45,54.36
Andrews County,48003,410250,00349,89.09,49.0
Angelina County,48005,93987,93987,85.55,55.91
Aransas County,48007,12972,12972,85.73,61.45
Archer County,48009,,,,
Armstrong County,48011,,,,
Atascosa County,48013,417111,417111,90.91,59.73
Austin County,48015,410655,410655,88.09,58.27
Bailey County,48017,416137,416137,85.82,42.18
Bandera County,48019,415742,415742,89.36,53.82
Bastrop County,48021,418415,412820,88.45,56.0
Baylor County,48023,414982,414982,87.73,50.09
Bee County,48025,12933,12933,90.36,58.36
Bell County,48027,418646,93984,88.09,56.18
Bexar County,48029,12970,12970,91.82,60.09
Blanco County,48031,410832,410832,87.18,56.27
Borden County,48033,413411,413411,87.27,51.0
Bosque County,48035,419715,419715,86.27,57.91
Bowie County,48037,418942,418942,85.36,52.55
Brazoria County,48039,413340,413340,87.82,61.36
Brazos County,48041,03904,03904,88.27,57.45
Brewster County,48043,416959,416959,94.64,55.36
Briscoe County,48045,418323,418323,85.18,43.0
Brooks County,48047,,413063,92.83,63.33
Brown County,48049,411138,,91.8,53.6
Burleson County,48051,418446,418446,90.73,59.09
Burnet County,48053,411250,411250,87.18,52.45
Caldwell County,48055,415429,415429,90.64,56.73
Calhoun County,48057,417140,417140,85.64,58.55
Callahan County,48059,417327,417327,88.18,48.18
Cameron County,48061,12919,12919,92.82,66.18
Camp County,48063,,,,
Carson County,48065,,,,
Cass County,48067,410408,410408,86.45,53.55
Castro County,48069,413972,413972,83.82,41.27
Chambers County,48071,410235,USR0000TANA,85.0,67.09
Cherokee County,48073,417841,417841,84.09,51.73
Childress County,48075,411694,411694,89.09,48.82
Clay County,48077,,,,
Cochran County,48079,416074,416074,85.45,42.45
Coke County,48081,03072,416495,87.73,50.36
Coleman County,48083,411875,411875,87.91,50.64
Collin County,48085,53914,53914,85.82,53.18
Collingsworth County,48087,,,,
Colorado County,48089,412676,412676,88.64,58.09
Comal County,48091,411429,411429,88.09,55.27
Comanche County,48093,53997,53997,87.73,51.45
Concho County,48095,412741,412741,87.36,47.73
Cooke County,48097,93929,93929,84.09,50.82
