NAME,TYPE,LENGTH,LABEL
CAMPUS,Character,9,Campus Number
CPCTG01A,Numeric,8,Campus 2019 Class Size: Grade 1 - Avg Size
CPCTG02A,Numeric,8,Campus 2019 Class Size: Grade 2 - Avg Size
CPCTG03A,Numeric,8,Campus 2019 Class Size: Grade 3 - Avg Size
CPCTG04A,Numeric,8,Campus 2019 Class Size: Grade 4 - Avg Size
CPCTG05A,Numeric,8,Campus 2019 Class Size: Grade 5 - Avg Size
CPCTG06A,Numeric,8,Campus 2019 Class Size: Grade 6 - Avg Size
CPCTGKGA,Numeric,8,Campus 2019 Class Size: Kindergarten- Avg Size
CPCTGMEA,Numeric,8,Campus 2019 Class Size: Mixed Elem. - Avg Size
CPCTENGA,Numeric,8,Campus 2019 Class Size: Sec English - Avg Size
CPCTFLAA,Numeric,8,Campus 2019 Class Size: Sec For Lng - Avg Size
CPCTMATA,Numeric,8,Campus 2019 Class Size: Sec Math - Avg Size
CPCTSCIA,Numeric,8,Campus 2019 Class Size: Sec Sci - Avg Size
CPCTSOCA,Numeric,8,Campus 2019 Class Size: Sec Soc Stud- Avg Size
CPSAMIFC,Numeric,8,Campus 2019 Staff: All Staff Minority Full Time Equiv Count
CPSAMIFP,Numeric,8,Campus 2019 Staff: All Staff Minority Full Time Equiv Percent
CPSATOFC,Numeric,8,Campus 2019 Staff: All Staff Total Full Time Equiv Count
CPSLEXPA,Numeric,8,Campus 2019 Staff: Assistant Principal Experience Average
CPSLTENA,Numeric,8,Campus 2019 Staff: Assistant Principal Tenure Average
CPSOTOFC,Numeric,8,Campus 2019 Staff: Contract Serv Total Full Time Equiv Count
CPSRTOFC,Numeric,8,Campus 2019 Staff: Counselor Total Full Time Equiv Count
CPSRTOPC,Numeric,8,Campus 2019 Staff: Counselor Total Part Time Equiv Count
CPSETOFC,Numeric,8,Campus 2019 Staff: Educ Aide Total Full Time Equiv Count
CPSETOFP,Numeric,8,Campus 2019 Staff: Educ Aide Total Full Time Equiv Percent
CPSBTOFC,Numeric,8,Campus 2019 Staff: Librarian Total Full Time Equiv Count
CPSBTOPC,Numeric,8,Campus 2019 Staff: Librarian Total Part Time Equiv Count
CPSHEXPA,Numeric,8,Campus 2019 Staff: Principal Experience Average
CPSHTENA,Numeric,8,Campus 2019 Staff: Principal Tenure Average
CPSPTOFC,Numeric,8,Campus 2019 Staff: Professional Total Full Time Equiv Count
